# ID, Campaign, Class, Class Probs (DSCUT, EA, EB, GDOR, Noise, OTHPER, RRab), Anomaly Score
202060523,0,    EA,0.000228,0.855812,0.015827,0.011877,0.038195,0.078061,0.000000,0.060071
202060527,0,OTHPER,0.004098,0.011416,0.038029,0.060232,0.022869,0.862750,0.000606,0.209677
202060532,0,OTHPER,0.000099,0.008092,0.000689,0.003447,0.143877,0.843796,0.000000,0.006711
202060539,0,OTHPER,0.012775,0.016531,0.076557,0.094742,0.010176,0.784957,0.004262,0.075269
202060541,0,OTHPER,0.007036,0.023731,0.052270,0.051910,0.010689,0.853174,0.001190,0.030928
202060545,0,OTHPER,0.012335,0.090558,0.026965,0.342087,0.092820,0.435008,0.000227,0.010101
202060550,0,OTHPER,0.002969,0.014054,0.003882,0.114207,0.418475,0.446387,0.000026,0.003344
202060551,0,    EA,0.000324,0.883235,0.042990,0.004248,0.032211,0.036534,0.000456,0.034483
202060552,0,OTHPER,0.004650,0.110984,0.028071,0.103110,0.086659,0.661663,0.004863,0.020408
202060553,0,OTHPER,0.000099,0.002273,0.000365,0.011534,0.207884,0.777846,0.000000,0.000000
202060554,0,OTHPER,0.002772,0.009519,0.002357,0.237680,0.116315,0.631161,0.000194,0.075269
202060562,0,  GDOR,0.004238,0.006979,0.008862,0.782767,0.006903,0.190200,0.000052,0.176471
202060564,0,OTHPER,0.002689,0.004547,0.000614,0.118953,0.343250,0.529881,0.000067,0.045296
202060571,0, Noise,0.000343,0.021313,0.005316,0.016799,0.506422,0.449808,0.000000,0.003344
202060573,0,OTHPER,0.006712,0.099057,0.019907,0.066659,0.372334,0.435141,0.000189,0.034483
202060577,0,    EB,0.000037,0.001967,0.995580,0.000110,0.000011,0.002228,0.000067,0.145038
202060581,0,OTHPER,0.011601,0.020741,0.029109,0.189618,0.117595,0.631060,0.000275,0.171875
202060594,0,OTHPER,0.002885,0.017434,0.010828,0.112420,0.056307,0.799813,0.000313,0.023891
202060597,0,OTHPER,0.059144,0.039939,0.009087,0.264418,0.301054,0.325905,0.000452,0.027397
202060600,0, Noise,0.008461,0.089891,0.027663,0.235670,0.364422,0.273832,0.000061,0.000000
202060603,0,OTHPER,0.029004,0.051193,0.011631,0.140240,0.379429,0.388503,0.000000,0.006711
202060604,0,OTHPER,0.016493,0.033040,0.060492,0.069932,0.016953,0.800439,0.002650,0.067616
202060605,0,OTHPER,0.000982,0.004930,0.000781,0.118970,0.306959,0.567311,0.000067,0.003344
202060607,0,OTHPER,0.043190,0.015669,0.090962,0.214999,0.042383,0.591811,0.000985,0.123596
202060610,0,OTHPER,0.019322,0.032747,0.005308,0.200476,0.345255,0.393435,0.003457,0.003344
202060619,0,OTHPER,0.001340,0.060666,0.007087,0.018179,0.430043,0.482685,0.000000,0.006711
202060623,0,OTHPER,0.000664,0.003429,0.001225,0.028717,0.055884,0.910024,0.000056,0.010101
202060631,0,OTHPER,0.001643,0.095283,0.015189,0.035491,0.234303,0.616930,0.001161,0.003344
202060633,0,OTHPER,0.006651,0.024300,0.008076,0.089564,0.394381,0.476416,0.000612,0.003344
202060636,0,OTHPER,0.000677,0.018314,0.014493,0.015944,0.092764,0.857752,0.000056,0.107011
202060643,0,OTHPER,0.000682,0.020582,0.011172,0.016829,0.019798,0.930090,0.000846,0.111111
202060646,0,OTHPER,0.000320,0.004486,0.004315,0.021853,0.140241,0.828040,0.000745,0.060071
202060654,0, Noise,0.000679,0.008198,0.000199,0.003793,0.667940,0.319190,0.000000,0.010101
